step,reward,turn_limit_count,other_exceed_count,empty_prediction_count,exceed_ratio_metric,response_clip_ratio,response_length_mean,response_length_max,num_turns_mean,num_turns_max,step_time_s,gen_time_s,old_log_prob_time_s,update_actor_time_s,throughput,actor_mfu,actor_infer_mfu,reason_counts
90,0.44921875,36,0,34,0.0703125,0.05859375,2161.08203125,16384.0,7.51171875,24,521.9857723973691,368.88027871213853,57.744058633223176,86.27921732701361,491.6671364839934,0.5221585311295545,0.2982054321911311,assistant_turn_limit_with_tool_call:36
91,0.470703125,62,0,61,0.12109375,0.05078125,2134.630859375,16384.0,8.15234375,24,590.0201352545992,447.23807357344776,52.53854255750775,83.54804577864707,427.5250282622177,0.5342059461452359,0.2830848804766029,assistant_turn_limit_with_tool_call:62
92,0.4140625,57,1,56,0.11328125,0.076171875,2493.150390625,16384.0,7.94921875,24,505.528976646252,347.67788717895746,59.11758978571743,91.73298278078437,552.4661056084898,0.5151837229608888,0.29069636036045465,assistant_turn_limit_with_tool_call:57;official_tool_response_would_exceed_response_length:1
93,0.486328125,67,0,65,0.130859375,0.06640625,2382.453125,16384.0,8.359375,24,564.5980381388217,409.15686012711376,57.654814946465194,87.01501100417227,483.6219426126712,0.53887969842351,0.2918968638918135,assistant_turn_limit_with_tool_call:67
94,0.408203125,72,0,65,0.140625,0.060546875,2394.828125,16384.0,8.44140625,24,572.9985722573474,420.66074601374567,58.34157267026603,87.03167937789112,474.2507453892098,0.5312679773699306,0.2631351257669164,assistant_turn_limit_with_tool_call:72
95,0.451171875,69,1,65,0.13671875,0.046875,2309.5234375,16384.0,8.5,24,576.3978475285694,423.2639635251835,58.63006431143731,87.8022189643234,462.54770232601413,0.5469213749484262,0.292341381346012,assistant_turn_limit_with_tool_call:69;official_tool_response_would_exceed_response_length:1
96,0.396484375,91,0,85,0.177734375,0.09765625,3135.609375,16384.0,9.3125,24,626.1143736504018,459.63170549087226,63.427257081493735,96.07648007851094,512.93184363041,0.532211690996726,0.29965102703258994,assistant_turn_limit_with_tool_call:91
97,0.4609375,83,1,81,0.1640625,0.068359375,2700.732421875,16384.0,8.64453125,24,602.2592270802706,438.30457009747624,60.5044829249382,96.81015045009553,484.7296012636938,0.5317881321237987,0.29129957332288,assistant_turn_limit_with_tool_call:83;official_tool_response_would_exceed_response_length:1
98,0.439453125,79,0,71,0.154296875,0.0703125,2561.94921875,16384.0,8.69921875,24,658.065386726521,502.1008998416364,57.60815720446408,91.80542964302003,422.4652376611557,0.5189718561769061,0.27934621223708517,assistant_turn_limit_with_tool_call:79
99,0.43359375,99,0,87,0.193359375,0.08203125,2896.361328125,16384.0,9.3125,24,664.6421556025743,497.1081496179104,64.05972398258746,96.60541776847094,458.41378316392166,0.5363967359939087,0.2698093135546239,assistant_turn_limit_with_tool_call:99
100,0.361328125,101,1,94,0.19921875,0.080078125,2822.97265625,16384.0,9.140625,24,672.5736349048093,497.21598113235086,62.13862167485058,101.210609536618,460.23101997420656,0.5396539206980889,0.29715919956083175,assistant_turn_limit_with_tool_call:101;official_tool_response_would_exceed_response_length:1
