run,label,step,tool_call_count_mean,reward_mean
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",56,2.265625,0.462890625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",57,2.169921875,0.453125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",58,2.177734375,0.3984375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",59,2.076171875,0.419921875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",60,2.30078125,0.486328125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",61,2.28125,0.40625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",62,2.36328125,0.421875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",63,2.39453125,0.466796875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",64,2.4375,0.41015625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",65,2.283203125,0.423828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",66,2.18359375,0.5390625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",67,2.27734375,0.494140625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",68,2.23046875,0.458984375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",69,2.369140625,0.447265625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",70,2.150390625,0.44140625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",71,2.423828125,0.4921875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",72,2.41015625,0.447265625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",73,2.408203125,0.486328125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",74,2.05859375,0.45703125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",75,2.26171875,0.486328125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",76,2.458984375,0.45703125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",77,2.115234375,0.455078125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",78,2.228515625,0.46484375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",79,2.435546875,0.40234375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",80,2.669921875,0.419921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",1,1.763671875,0.486328125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",2,1.767578125,0.51171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",3,1.892578125,0.44921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",4,2.052734375,0.44140625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",5,1.91015625,0.439453125
